"id","name","region","language","tvg_id","tvg_logo","group_title","stream_url","enabled","last_checked_ok","last_checked_at_utc","last_status","last_error"
"geo_tez_pk","Geo Tez","PK","Urdu","GeoTez.pk@SD","","News","https://jk3lz82elw79-hls-live.5centscdn.com/newgeonews/07811dc6c422334ce36a09ff5cd6fe71.sdp/playlist.m3u8","true","true","2026-05-07T22:01:52.3525054Z","206",""
"harpal_geo_pk","HarPal Geo","PK","Urdu","HarPalGeo.pk@SD","","Entertainment","https://jk3lz82elw79-hls-live.5centscdn.com/harPalGeo/955ad3298db330b5ee880c2c9e6f23a0.sdp/playlist.m3u8","true","true","2026-05-07T22:01:52.3525054Z","206",""
"neo_news_pk","Neo News","PK","Urdu","NeoNews.pk@SD","","News","https://vodzong.mjunoon.tv:8087/streamtest/Neo-110/playlist.m3u8","true","true","2026-05-07T22:01:52.3525054Z","206",""
"samaa_tv_pk","Samaa TV","PK","Urdu","SamaaTV.pk@SD","","News","https://vodzong.mjunoon.tv:8087/streamtest/SAMAA-173/playlist.m3u8","true","true","2026-05-07T22:01:52.3525054Z","206",""
