"id","name","region","category","tvg_id","last_status","reason","stream_url"
"cheddar_news_1080p_us","Cheddar News (1080p)","US","News","CheddarNews.us@SD","200","US popular news addition","https://wurlcheddar.global.transmit.live/hls/689ceac9301c34d3919676f3/v1/Cheddar/samsung_us/latest/main/hls/playlist.m3u8"
"cnn_international_us","CNN International","US","News","CNNInternationalEurope.us","200","US/international popular news addition","https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8"
"buzzr_1080p_us","Buzzr (1080p)","US","Entertainment","Buzzr.us@SD","206","US popular entertainment addition","https://buzzrota-ono.amagi.tv/playlist.m3u8"
"grit_xtra_1080p_us","Grit Xtra (1080p)","US","Entertainment","GritXtra.us@SD","200","US popular entertainment addition","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-gritxtra-tablo/playlist.m3u8"
"mtv_en_espa_ol_us","MTV en español","US","Music","MTVenEspanol.us@SD","200","US popular music addition","https://jmp2.uk/plu-5cf96d351652631e36d4331f.m3u8"
"the_country_network_us_geo_us","The Country Network (US) Geo","US","Music","","200","US popular music addition","https://amg00600-tcn-amg00600c1-lg-us-929.playouts.now.amagi.tv/playlist/amg00600-thecountrynetworkfast-thecountrynetwork-lgus/playlist.m3u8"
"cnbc_europe_uk","CNBC Europe","UK","News","CNBCEurope.uk","200","UK popular business/news addition","https://amg01079-nbcuuk-amg01079c1-samsung-es-1261.playouts.now.amagi.tv/playlist/amg01079-nbcuukfast-cnbcpe-samsunges/playlist.m3u8"
"cnn_fast_gb_geo_uk","CNN Fast (GB) Geo","UK","News","","206","UK popular news addition","https://amg00803-cnnfast-amg00803c6-lg-gb-5355.playouts.now.amagi.tv/playlist.m3u8"
"sky_news_us","Sky News","UK","News","XUMO_99951223","200","UK popular news addition reclassified from US source","https://dbrb49pjoymg4.cloudfront.net/10001/99951223/hls/master.m3u8?ads.xumo_channelId=99951223&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=SkyNews&ads.csid=xumo_[PLATFORM]_SkyNews_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=3455&ads.xumo_contentName=SkyNews&ads.xumo_providerId=3455&ads.xumo_providerName=SkyNews&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99951223&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]"
