"id","name","region","group_title","tvg_id","last_status","last_error"
"miracle_tv_480p_uk","Miracle TV (480p)","UK","Religious","MiracleTV.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"moonbug_kids_1080p_uk","Moonbug Kids (1080p)","UK","Kids","MoonbugKids.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"mr_bean_live_action_1080p_uk","Mr Bean Live Action (1080p)","UK","Comedy;Kids","MrBeanLiveAction.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"mr_bean_animated_1080p_uk","Mr. Bean Animated (1080p)","UK","Animation;Kids","MrBeanAnimated.uk@English","206","Removed as UK/PK non-popular or duplicate channel"
"mytime_movie_network_1080p_uk","MyTime Movie Network (1080p)","UK","Movies","MyTimeMovieNetwork.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"naturetime_1080p_uk","NatureTime (1080p)","UK","Documentary","NatureTime.ca@UK","206","Removed as UK/PK non-popular or duplicate channel"
"nolly_africa_hd_1080p_uk","Nolly Africa HD (1080p)","UK","Movies","NollyAfrica.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"now_70s_720p_uk","Now 70s (720p)","UK","Music","Now70s.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"now_80s_1080p_uk","Now 80s (1080p)","UK","Music","Now80s.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"now_rock_1080p_uk","NOW Rock (1080p)","UK","Music","NOWRock.uk@SD","206","Removed as UK/PK non-popular or duplicate channel"
"pop_up_1080p_geo_blocked_uk","Pop Up (1080p) [Geo-blocked]","UK","Kids","PopUp.uk@SD","200","Removed as UK/PK non-popular or duplicate channel"
"qwest_tv_jazz_beyond_1080p_uk","Qwest TV Jazz & Beyond (1080p)","UK","Music","QwestTVJazzBeyond.fr@SD","200","Removed as UK/PK non-popular or duplicate channel"
"rakuten_top_movies_uk_1080p_uk","Rakuten Top Movies UK (1080p)","UK","Movies","RakutenTVTopMovies.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"rakuten_tv_action_movies_uk_1080p_uk","Rakuten TV Action Movies UK (1080p)","UK","Movies","RakutenTVActionMovies.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"rakuten_tv_comedy_movies_uk_1080p_uk","Rakuten TV Comedy Movies UK (1080p)","UK","Movies","RakutenTVComedyMovies.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"rakuten_tv_drama_movies_uk_1080p_uk","Rakuten TV Drama Movies UK (1080p)","UK","Movies","RakutenTVDramaMovies.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"rakuten_tv_family_movies_uk_1080p_uk","Rakuten TV Family Movies UK (1080p)","UK","Family;Movies","RakutenTVFamilyMovies.es@UK","200","Removed as UK/PK non-popular or duplicate channel"
"red_bull_tv_uk_1080p_uk","Red Bull TV UK (1080p)","UK","Outdoor;Sports","RedBullTV.at@UK","200","Removed as UK/PK non-popular or duplicate channel"
