"id","name","region","group_title","tvg_id","last_status","last_error"
"space_live_uk","Space Live","UK","Science","SpaceLivepoweredbysen.uk@SD","200","Removed as weak UK popular-channel match"
"sky_news_weather_uk","Sky News Weather","UK","Science","SkyNewsWeather.uk@SD","200","Removed as weak UK popular-channel match"
"great_british_menu_gb_uk","Great British Menu (GB)","UK","General","","206","Removed as weak UK popular-channel match"
