"id","name","region","group_title","tvg_id","enabled","last_checked_ok","last_status","last_error"
"ryz_sports_network_us","Ryz Sports Network","US","General","XUMO_99951373","false","true","200",""
"real_madrid_tv_us","Real Madrid TV","US","General","XUMO_99951381","false","true","200",""
"tennischannel_2_us","TennisChannel 2","US","General","XUMO_99951389","false","true","200",""
"pickleballtv_us","PickleballTV","US","General","XUMO_99951390","false","true","200",""
"willow_sports_us","Willow Sports","US","General","XUMO_99951406","false","true","200",""
"pbr_ridepass_us","PBR RidePass","US","General","XUMO_99951388","false","true","200",""
"ufc_us","UFC","US","General","XUMO_99951134","false","true","200",""
"pfl_mma_us","PFL MMA","US","General","XUMO_99951203","false","true","200",""
"glory_kickboxing_us","GLORY Kickboxing","US","General","XUMO_99991278","false","true","200",""
"tna_wrestling_channel_us","TNA Wrestling Channel","US","General","XUMO_99991341","false","true","200",""
"swerve_combat_us","Swerve Combat","US","General","XUMO_99991696","false","true","200",""
"powernation_us","PowerNation","US","General","XUMO_99991291","false","true","200",""
"motorvision_us","Motorvision","US","General","XUMO_99991325","false","true","200",""
"fifth_gear_us","Fifth Gear","US","General","XUMO_99951207","false","true","200",""
"top_gear_us","Top Gear","US","General","XUMO_99951249","false","true","200",""
"speedvision_us","SPEEDVISION","US","General","XUMO_99951268","false","true","200",""
"racer_select_us","RACER Select","US","General","XUMO_99951269","false","true","200",""
"nascar_channel_us","NASCAR Channel","US","General","XUMO_99951413","false","true","200",""
"classic_car_auctions_by_history_us","Classic Car Auctions by History","US","General","XUMO_99951486","false","true","200",""
"xumo_free_crime_tv_us","Xumo Free Crime TV","US","News","XUMO_99991384","false","true","200",""
"unsolved_mysteries_us","Unsolved Mysteries","US","News","XUMO_99991680","false","true","200",""
"universal_crime_us","Universal Crime","US","News","XUMO_99951245","false","true","200",""
"american_crimes_us","American Crimes","US","News","XUMO_99951461","false","true","200",""
"law_crime_us","Law&Crime","US","News","XUMO_99991320","false","true","200",""
"law_order_us","Law & Order","US","News","XUMO_99951468","false","true","200",""
"forensic_files_us","Forensic Files","US","News","XUMO_99991367","false","true","200",""
"reelz_famous_infamous_us","REELZ Famous & Infamous","US","News","XUMO_99991368","false","true","200",""
