"source","name","url","extinf"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_samsung.m3u","60 Days In by A&E (720p)","https://d2b8jic9gadlvy.cloudfront.net/v1/aenetworks_60daysin_1/samsungheadend_us/latest/main/hls/playlist.m3u8","#EXTINF:-1 tvg-id="""",60 Days In by A&E (720p)"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_pluto.m3u","A&E Crime 360 (720p)","https://jmp2.uk/plu-6000a5a9e767980007b497ca.m3u8","#EXTINF:-1 tvg-id="""",A&E Crime 360 (720p)"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tubi.m3u","A&E Crime 360 (720p)","https://live-manifest.production-public.tubi.io/live/d65f6697-9fd2-477f-a56d-26cea1b939b7/playlist.m3u8","#EXTINF:-1 tvg-id=""Crime360.us@SD"",A&E Crime 360 (720p)"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","A&E East (360p) [Not 24/7]","https://tvpass.org/live/AEEast/sd","#EXTINF:-1 tvg-id=""AE.us@East"",A&E East (360p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_tvpass.m3u","A&E East (720p) [Not 24/7]","https://tvpass.org/live/AEEast/hd","#EXTINF:-1 tvg-id=""AE.us@East"",A&E East (720p) [Not 24/7]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_samsung.m3u","AMC en Español (720p) [Geo-blocked]","https://pb-fmbyorn1d0n1n.akamaized.net/v1/amc_amcespanol_3/samsungheadend_us/latest/main/hls/playlist.m3u8","#EXTINF:-1 tvg-id=""AMCenEspanol.us@SD"",AMC en Español (720p) [Geo-blocked]"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_xumo.m3u","Bravo Vault (1080p)","https://xumo-xumoent-vc-114-x0p7i.fast.nbcuni.com/live/master.m3u8","#EXTINF:-1 tvg-id="""",Bravo Vault (1080p)"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_pluto.m3u","Bravo Vault (720p)","https://jmp2.uk/plu-6549310a53fc97000838fcc9.m3u8","#EXTINF:-1 tvg-id="""",Bravo Vault (720p)"
"https://raw.githubusercontent.com/Free-TV/IPTV/master/playlist.m3u8","BS-TBS","https://stream01.willfonk.com/live_playlist.m3u8?cid=BS161&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1","#EXTINF:-1 tvg-name=""BS-TBS"" tvg-logo=""https://i.imgur.com/BSt9UG2.png"" tvg-id=""BSTBS.jp"" tvg-chno=""BS161"" tvg-country=""JP"" group-title=""日本 / Japan"",BS-TBS"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_pluto.m3u","Cold Case Files by A&E","https://jmp2.uk/plu-5c37d6712de254456f7ec340.m3u8","#EXTINF:-1 tvg-id="""",Cold Case Files by A&E"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_pluto.m3u","Comedy Central en español","https://jmp2.uk/plu-5cf96dad1652631e36d43320.m3u8","#EXTINF:-1 tvg-id=""ComedyCentralenEspanol.us@SD"",Comedy Central en español"
"https://raw.githubusercontent.com/iptv-org/iptv/master/streams/us_pluto.m3u","Comedy Central Pluto TV","https://jmp2.uk/plu-5ca671f215a62078d2ec0abf.m3u8","#EXTINF:-1 tvg-id=""ComedyCentralPlutoTV.us@US"",Comedy Central Pluto TV"
